HOSTNAME	DEVICE_ID	MODEL	IMEI
U26-K04 R3CRA06BZRT	SM-F711N	350923221984122
U26-K04 R3CRB0Y1ZGT	SM-F711N	350923224379692
U26-K04 R3CRC0M518L	SM-F711N	357335602449448
U26-K04 R3CT40N6MHH	SM-F711N	357335603311183
U26-K04 R5CR718BLCV	SM-F711N	354903970509292
U26-K04 R5CR808GJVW	SM-F711N	354903970914021
U26-K04 R5CR808N5XL	SM-F711N	354903970954571
U26-K04 R5CR81S4F4V	SM-F711N	354903972589359
U26-K04 R5CR828BZTL	SM-F711N	354903972890005
U26-K04 R5CR82CGR2R	SM-F711N	354903973019497
U26-K04 R5CR82KASDA	SM-F711N	354903973203596
U26-K04 R5CR92EBZVW	SM-F711N	354903974061951
U26-K04 R5CR935KD1K	SM-F711N	354903974708452
U26-K04 R5CRA28LM4M	SM-F711N	354903975821288
U26-K05	R3CR70NXC6X	SM-F711N	350923220648934
U26-K05	R3CR70TBXFM	SM-F711N	350923220981129
U26-K05	R3CR80FKA8K	SM-F711N	357335600504269
U26-K05	R3CR80LQJWJ	SM-F711N	357335600841323
U26-K05	R3CR90SHTQR	SM-F711N	350923221768871
U26-K05	R3CRC0BNHPP	SM-F711N	350923224741164
U26-K05	R3CRC0Z401K	SM-F711N	350923225586857
U26-K05	R3CT50CWREW	SM-F711N	350923227085809
U26-K05	R5CR713T44D	SM-F711N	354903970382823
U26-K05	R5CR80002AE	SM-F711N	354903970532856
U26-K05	R5CR80E2TNK	SM-F711N	354903971146722
U26-K05	R5CR81PBCEF	SM-F711N	354903972384389
U26-K05	R5CR90LEARY	SM-F711N	354903973424184
U26-K05	R5CR91DLAPE	SM-F711N	354903973776567
U26-K05	R5CRA163BJY	SM-F711N	354903975385482
U26-K05	R5CRA183ZDE	SM-F711N	354903975423655
U26-K05	R5CRA184JSJ	SM-F711N	354903975430056
U26-K05	R5CRA26H8PP	SM-F711N	354903975714970
U26-K05	R5CRB1P16VR	SM-F711N	354903976383486
U26-K05	R5CRC3PVKXX	SM-F711N	354903978036199
U26-K06	R3CR70ASKJR	SM-F711N	350923220319213
U26-K06	R3CR70PWD0E	SM-F711N	350923220806516
U26-K06	R3CR70RS1EH	SM-F711N	350923220914914
U26-K06	R3CR70VR5JJ	SM-F711N	350923221032575
U26-K06	R3CR808WELD	SM-F711N	350923221192999
U26-K06	R3CR90G6J1B	SM-F711N	350923221479826
U26-K06	R5CR70WENQR	SM-F711N	354903970088156
U26-K06	R5CR713D6DW	SM-F711N	354903970295165
U26-K06	R5CR715WXTA	SM-F711N	354903970410475
U26-K06	R5CR8022HFZ	SM-F711N	354903970615594
U26-K06	R5CR807XKLE	SM-F711N	354903970870058
U26-K06	R5CR80BGFVW	SM-F711N	354903971039612
U26-K06	R5CR80E2GPT	SM-F711N	354903971143109
U26-K06	R5CR813GMBN	SM-F711N	354903972112095
U26-K06	R5CR82JX78R	SM-F711N	354903973151001
U26-K06	R5CR91A98NK	SM-F711N	354903973575480
U26-K06	R5CRA0XM28N	SM-F711N	354903975233393
U26-K06	R5CRA19ZTYE	SM-F711N	354903975543288
U26-K06	R5CRA1AY0NV	SM-F711N	Unknown/NoRoot
U26-K06	R5CRB1N9A9T	SM-F711N	354903976341500
U26-K07	R3CR70AV5ZZ	SM-F711N	350923220320070
U26-K07	R3CR70D3ECZ	SM-F711N	350923220355191
U26-K07	R3CR70JFWXJ	SM-F711N	350923220493190
U26-K07	R3CR70SZ0JJ	SM-F711N	350923220949167
U26-K07	R3CR804583K	SM-F711N	350923221115743
U26-K07	R3CR80NVXJE	SM-F711N	350923221306565
U26-K07	R3CR90CE67P	SM-F711N	357335601111320
U26-K07	R3CR90GC5AP	SM-F711N	350923221505521
U26-K07	R3CRB0WCGET	SM-F711N	350923224177476
U26-K07	R3CRC0XSEHY	SM-F711N	350923225480499
U26-K07	R5CR713T5WT	SM-F711N	354903970383409
U26-K07	R5CR715VSTX	SM-F711N	354903970398266
U26-K07	R5CR804V9CT	SM-F711N	354903970720899
U26-K07	R5CR807XTKD	SM-F711N	354903970872682
U26-K07	R5CR80ZNFTH	SM-F711N	354903971948648
U26-K07	R5CR813E9AB	SM-F711N	354903972086349
U26-K07	R5CR818AW0R	SM-F711N	354903972259201
U26-K07	R5CR82CEZBN	SM-F711N	354903973000117
U26-K07	R5CR82H78WT	SM-F711N	354903973118349
U26-K07	R5CRA0TJHLK	SM-F711N	354903975096345
U26-K08	R3CN707QXVD	SM-N986N	355857110437047
U26-K08	R3CN70AS70W	SM-N986N	355857110901133
U26-K08	R3CN70DFRML	SM-N981N	355347580506414
U26-K08	R3CN70F8WPT	SM-N986N	355857111737072
U26-K08	R3CN70HFQZD	SM-N981N	355347580914022
U26-K08	R3CN70KHSEM	SM-N986N	355857112293158
U26-K08	R3CN70M7VNA	SM-N981N	355347581300361
U26-K08	R3CN70TVQJV	SM-N986N	355857112890987
U26-K08	R3CN802D0QJ	SM-N981N	355347582652802
U26-K08	R3CN805VAXH	SM-N986N	355857113331353
U26-K08	R3CN808PN3H	SM-N981N	358660700665002
U26-K08	R3CN80CPKBP	SM-N986N	355857113572915
U26-K08	R3CN80EWTXB	SM-N981N	355347584051607
U26-K08	R3CN80GGBTK	SM-N981N	358660701084591
U26-K08	R3CN80HLQGV	SM-N986N	355857113719664
U26-K08	R3CN80MG4NR	SM-N986N	355859111003539
U26-K08	R3CN80NQCAN	SM-N981N	355347584882183
U26-K08	R3CN80SY0VE	SM-N986N	355857114222437
U26-K08	R3CN906FMAT	SM-N986N	355857115764916
U26-K08	R3CR40EPEDT	SM-N986N	355857117594337
U26-K09	R3CR70JFJFE	SM-F711N	350923220489412
U26-K09	R3CR80H3DER	SM-F711N	357335600628431
U26-K09	R3CR90HERPZ	SM-F711N	350923221533986
U26-K09	R3CRA06SF5M	SM-F711N	357335601605271
U26-K09	R3CRA0Q3F9M	SM-F711N	357335601819856
U26-K09	R3CT20CXWNR	SM-F711N	357335603047787
U26-K09	R5CR713CSGN	SM-F711N	354903970290901
U26-K09	R5CR802R7DF	SM-F711N	354903970679798
U26-K09	R5CR808M1HT	SM-F711N	354903970942238
U26-K09	R5CR80ANGTW	SM-F711N	354903971029332
U26-K09	R5CR80Y12NP	SM-F711N	354903971658841
U26-K09	R5CR80Z434L	SM-F711N	354903971841884
U26-K09	R5CR80Z9KEB	SM-F711N	354903971882011
U26-K09	R5CR81SP99T	SM-F711N	354903972749128
U26-K09	R5CR91DYXSJ	SM-F711N	354903973838722
U26-K09	R5CR92XC7WV	SM-F711N	354903974379346
U26-K09	R5CRA0S4XFA	SM-F711N	354903975004372
U26-K09	R5CRB1P6EVZ	SM-F711N	354903976440575
U26-K09	R5CRB1P6R1J	SM-F711N	354903976443934
U26-K09	R5CT51Y3EQY	SM-F711N	354903978562236
U26-K10	R3CR70WD1KX	SM-F711N	350923221060386
U26-K10	R3CR70WD7NA	SM-F711N	350923221062390
U26-K10	R3CR8045YWN	SM-F711N	350923221123598
U26-K10	R3CR90H1NCP	SM-F711N	357335601260499
U26-K10	R3CR90MAW4B	SM-F711N	357335601395964
U26-K10	R3CR90SJ6SW	SM-F711N	350923221772857
U26-K10	R3CRA09DW9E	SM-F711N	357335601619645
U26-K10	R3CRA0EJ6SD	SM-F711N	350923222573346
U26-K10	R3CRC0RBEPP	SM-F711N	350923225254076
U26-K10	R5CR802VA4D	SM-F711N	354903970711260
U26-K10	R5CR80DSS2W	SM-F711N	354903971131229
U26-K10	R5CR80E53QP	SM-F711N	354903971155897
U26-K10	R5CR80ZPJ0Z	SM-F711N	354903971960254
U26-K10	R5CR81QCVCK	SM-F711N	354903972506023
U26-K10	R5CR81S2C2J	SM-F711N	354903972572868
U26-K10	R5CR81SQ8JJ	SM-F711N	354903972759770
U26-K10	R5CR82NR07J	SM-F711N	354903973264994
U26-K10	R5CRA0PW01W	SM-F711N	354903974878719
U26-K10	R5CRA19WHAD	SM-F711N	354903975507101
U26-K10	R5CRC3DZRQH	SM-F711N	354903977953998
U26-K11	R3CR70JFYRX	SM-F711N	350923220493802
U26-K11	R3CR70JG8CF	SM-F711N	350923220496979
U26-K11	R3CR80FM2HP	SM-F711N	357335600523491
U26-K11	R3CR90PJBDW	SM-F711N	350923221624637
U26-K11	R3CR90SDZDW	SM-F711N	350923221728404
U26-K11	R5CR713T30Z	SM-F711N	354903970382450
U26-K11	R5CR715VJPR	SM-F711N	354903970395585
U26-K11	R5CR8050AGZ	SM-F711N	354903970772650
U26-K11	R5CR80ED9QY	SM-F711N	354903971189722
U26-K11	R5CR80ED9XD	SM-F711N	354903971189789
U26-K11	R5CR81180SP	SM-F711N	354903972053638
U26-K11	R5CR811NA2M	SM-F711N	354903972068032
U26-K11	R5CR813EY8A	SM-F711N	354903972093584
U26-K11	R5CR813GAQH	SM-F711N	354903972108598
U26-K11	R5CR816M9AA	SM-F711N	354903972214982
U26-K11	R5CR81SKJRE	SM-F711N	354903972708694
U26-K11	R5CR90GFV9W	SM-F711N	354903973330589
U26-K11	R5CR91A4MVL	SM-F711N	354903973546234
U26-K11	R5CRA0RVT8H	SM-F711N	354903974907393
U26-K11	R5CRC2YBH8N	SM-F711N	354903977507562
U26-K12	R3CR70HST0D	SM-F711N	350923220465925
U26-K12	R3CR70LX43K	SM-F711N	350923220549249
U26-K12	R3CR80E0PEP	SM-F711N	357335600452204
U26-K12	R3CR90GK2KM	SM-F711N	357335601241069
U26-K12	R3CRB0Q1D6Y	SM-F711N	350923223811679
U26-K12	R5CR716BQNJ	SM-F711N	354903970431778
U26-K12	R5CR716GZJH	SM-F711N	354903970473770
U26-K12	R5CR804WTLY	SM-F711N	354903970736788
U26-K12	R5CR80FHBEV	SM-F711N	354903971218257
U26-K12	R5CR80Y7AQA	SM-F711N	354903971726846
U26-K12	R5CR81PA19V	SM-F711N	354903972369810
U26-K12	R5CR91BJKPV	SM-F711N	354903973624981
U26-K12	R5CR91DGH2A	SM-F711N	354903973740100
U26-K12	R5CR91J3NEL	SM-F711N	354903973872895
U26-K12	R5CR9306G3H	SM-F711N	354903974529742
U26-K12	R5CRA0WXGZW	SM-F711N	354903975210037
U26-K12	R5CRA189QHK	SM-F711N	354903975483097
U26-K12	R5CRA28H2PY	SM-F711N	354903975783637
U26-K12	R5CRC018Q1A	SM-F711N	354903976909488
U26-K12	R5CRC2CKK6Y	SM-F711N	354903977097234
U26-K13	R3CR70FZMWJ	SM-F711N	350923220400690
U26-K13	R3CR70JDLAN	SM-F711N	350923220474729
U26-K13	R3CR70NW99F	SM-F711N	350923220637085
U26-K13	R3CR70RC5PV	SM-F711N	350923220845712
U26-K13	R3CR808DX1D	SM-F711N	350923221187510
U26-K13	R3CR80NN06B	SM-F711N	357335601002941
U26-K13	R3CRA0GR0SL	SM-F711N	350923222718776
U26-K13	R3CRB0PZG9J	SM-F711N	350923223790915
U26-K13	R3CRC08D3AR	SM-F711N	350923224512854
U26-K13	R3CRC0Z4TFY	SM-F711N	350923225595908
U26-K13	R5CR715W5YV	SM-F711N	354903970402266
U26-K13	R5CR80Y5S9A	SM-F711N	354903971710196
U26-K13	R5CR810T27J	SM-F711N	354903972025016
U26-K13	R5CR811S72Y	SM-F711N	354903972081902
U26-K13	R5CR813GA5H	SM-F711N	354903972108408
U26-K13	R5CR81SLBZH	SM-F711N	354903972717349
U26-K13	R5CR82NQ10B	SM-F711N	354903973254367
U26-K13	R5CR91QCGEY	SM-F711N	354903973906164
U26-K13	R5CRB1KC26L	SM-F711N	354903976241163
U26-K13	R5CRC3CNT8D	SM-F711N	354903977848982
U26-K14	R3CR80LSWGD	SM-F711N	350923221279077
U26-K14	R3CR90CCP1D	SM-F711N	357335601095093
U26-K14	R3CR90GCB5L	SM-F711N	350923221507055
U26-K14	R3CR90HEZDB	SM-F711N	350923221536195
U26-K14	R3CRA0GP5YP	SM-F711N	350923222698697
U26-K14	R3CRB0ATRRK	SM-F711N	350923223418566
U26-K14	R3CRB0PZGDR	SM-F711N	350923223790956
U26-K14	R3CRC0ZCD2Z	SM-F711N	350923225607083
U26-K14	R5CR802BBLB	SM-F711N	354903970628373
U26-K14	R5CR802CTAL	SM-F711N	354903970644446
U26-K14	R5CR80BKKQH	SM-F711N	354903971072464
U26-K14	R5CR80ZNCXT	SM-F711N	354903971947681
U26-K14	R5CR80ZYL9K	SM-F711N	354903972010596
U26-K14	R5CR8153KWN	SM-F711N	354903972175530
U26-K14	R5CR81PA2GT	SM-F711N	354903972370214
U26-K14	R5CR82FNMVX	SM-F711N	354903973081380
U26-K14	R5CR919ZL9A	SM-F711N	354903973533232
U26-K14	R5CR91SH8LM	SM-F711N	354903973965152
U26-K14	R5CR9336DSB	SM-F711N	354903974566595
U26-K14	R5CRC2RDAFB	SM-F711N	354903977345310
U26-M02	R3CR70P0Y5E	SM-F711N	350923220687866
U26-M02	R3CR80BLS9K	SM-F711N	357335600444375
U26-M02	R3CR80HKLKL	SM-F711N	357335600764343
U26-M02	R3CR80NV2PD	SM-F711N	350923221297376
U26-M02	R3CRA0T9X0T	SM-F711N	350923223127464
U26-M02	R3CRB0NM4WP	SM-F711N	350923223754341
U26-M02	R3CRC03121Z	SM-F711N	350923224413616
U26-M02	R3CRC0XEZ5E	SM-F711N	350923225423416
U26-M02	R3CT508WGBH	SM-F711N	350923227051660
U26-M02	R5CR70R7BAF	SM-F711N	354903970010903
U26-M02	R5CR804Z49T	SM-F711N	354903970759715
U26-M02	R5CR80AML3N	SM-F711N	354903971019523
U26-M02	R5CR80ST4EM	SM-F711N	354903971461345
U26-M02	R5CR81SA7RK	SM-F711N	354903972648643
U26-M02	R5CR91QD5VA	SM-F711N	354903973913566
U26-S06 R3CN70BHS0V	SM-N986N	355857111132837
U26-S06 R3CN70DK67N	SM-N986N	355857111480137
U26-S06 R3CN70DM6KJ	SM-N986N	355857111502039
U26-S06 R3CN70E8KKK	SM-N986N	355857111589184
U26-S06 R3CN70ES0YA	SM-N986N	355857111707851
U26-S06 R3CN8090MWH	SM-N986N	355857113453926
U26-S06 R3CN81414WA	SM-N986N	355857114929270
U26-S06 R3CN90FQ7VB	SM-N986N	355857116445713
U26-S06 R3CNA001T9W	SM-N986N	355857117036248
U26-S06 R3CR409T35D	SM-N986N	355857117551535
U26-S07 R3CRA0VBMSL	SM-F711N	350923223181883
U26-S07 R5CR802CC4N	SM-F711N	354903970639438
U26-S07 R5CR80VJRWF	SM-F711N	354903971487316
U26-S07 R5CR80VLMPF	SM-F711N	354903971507717
U26-S07 R5CR813JMMF	SM-F711N	354903972133976
U26-S07 R5CR8154YNA	SM-F711N	354903972185497
U26-S07 R5CR81QCKPK	SM-F711N	354903972503160
U26-S07 R5CR81SDEQM	SM-F711N	354903972681503
U26-S07 R5CRB2M9MCM	SM-F711N	354903976605680
U26-S07 R5CRC4280QX	SM-F711N	354903978303920
U26-S08 R3CN70B05VM	SM-N986N	355857110976986
U26-S08 R3CN70CJ5EW	SM-N986N	355857111270637
U26-S08 R3CN70ENY2K	SM-N986N	355857111674531
U26-S08 R3CN802KS4H	SM-N986N	355857113209708
U26-S08 R3CN804CHKH	SM-N986N	355857113316966
U26-S08 R3CN808YJTT	SM-N986N	355857113431138
U26-S08 R3CN80SVV2D	SM-N986N	355857114198744
U26-S08 R3CN80W6YSA	SM-N986N	355857114384096
U26-S08 R3CN814V3YA	SM-N986N	355857115045605
U26-S08 R3CN90JXS2X	SM-N986N	355857116619002
U26-S09 R3CN20KZTKW	SM-G988N	352649110459904
U26-S09 R3CN20R5MJD	SM-G988N	352649110813258
U26-S09 R3CN30FKDAM	SM-G988N	352649111733620
U26-S09 R3CN30JD3DF	SM-G988N	352649111964027
U26-S09 R3CN30LQW3A	SM-G988N	352649112070220
U26-S09 R3CN30N5YKB	SM-G988N	352649112157571
U26-S09 R3CN30X2E2B	SM-G988N	352649112858509
U26-S09 R3CN3106Z5M	SM-G988N	352650110988652
U26-S09 R3CN402KHTD	SM-G988N	352650111016420
U26-S09 R3CN4046JBB	SM-G988N	352649113629685
U26-S10 R3CT70N4MHE	SM-F721N	353285380719013
U26-S10 R3CT70NSM9L	SM-F721N	351286350892907
U26-S10 R3CT70RE6KY	SM-F721N	353285381142611
U26-S10 R3CT70S8EBR	SM-F721N	353285381291558
U26-S10 R3CT70SFYDV	SM-F721N	356312910326841
U26-S10 R5CT81WQ4WZ	SM-F721N	354956890362275
U26-S10 R5CT82DP5MR	SM-F721N	350906180543690
U26-S10 R5CT82DRL9N	SM-F721N	350906180570305
U26-S10 R5CT82F96NE	SM-F721N	350906180781696
U26-S10 R5CT82M67FE	SM-F721N	350906180868972
U26-S01 R3CR70LXDEJ	SM-F711N	350923220552326
U26-S01 R3CR70RQHNE	SM-F711N	350923220898497
U26-S01 R3CR70TBKYK	SM-F711N	350923220977655
U26-S01 R3CR90JD5ZA	SM-F711N	350923221573958
U26-S01 R3CR90QRN1J	SM-F711N	350923221670200
U26-S01 R5CR804V6FP	SM-F711N	354903970719933
U26-S01 R5CR80AL1KN	SM-F711N	354903971002529
U26-S01 R5CR80BLCQZ	SM-F711N	354903971081044
U26-S01 R5CR815373J	SM-F711N	354903972171315
U26-S01 R5CRC2YA64J	SM-F711N	354903977493003
U26-S02 R3CRC09TRXM	SM-F711N	350923224627314
U26-S02 R3CRC0TL2KE	SM-F711N	350923225346286
U26-S02 R3CT10A0BTJ	SM-F711N	357335602891771
U26-S02 R3CT20FHY8L	SM-F711N	357335603220970
U26-S02 R5CR80FHKXH	SM-F711N	354903971221053
U26-S02 R5CR80MX8KA	SM-F711N	354903971383119
U26-S02 R5CR813GQRK	SM-F711N	354903972113226
U26-S02 R5CR81S90EL	SM-F711N	354903972635335
U26-S02 R5CR919YSBP	SM-F711N	354903973524348
U26-S02 R5CR91SHJ1E	SM-F711N	354903973968263
U26-S03 R3CR70D3T1R	SM-F711N	350923220359375
U26-S03 R3CR805C7JL	SM-F711N	350923221157927
U26-S03 R3CR80HEZKV	SM-F711N	357335600713852
U26-S03 R3CR80NY5MW	SM-F711N	357335601030116
U26-S03 R3CR90PQ99D	SM-F711N	357335601482572
U26-S03 R3CT60D3ACV	SM-F711N	350923227630174
U26-S03 R5CR804WW9A	SM-F711N	354903970737331
U26-S03 R5CR82969KD	SM-F711N	354903972897356
U26-S03 R5CR829ANMF	SM-F711N	354903972917428
U26-S03 R5CRA28L71L	SM-F711N	354903975816635
U26-S04 R3CR70GKMLX	SM-F711N	350923220413172
U26-S04 R3CR70M2L4A	SM-F711N	350923220606338
U26-S04 R3CR70PQ48B	SM-F711N	350923220749179
U26-S04 R3CR90PN8JE	SM-F711N	357335601460552
U26-S04 R3CRA0T852R	SM-F711N	350923223108340
U26-S04 R3CRB07DJDE	SM-F711N	357335601912412
U26-S04 R3CRC0GXLZE	SM-F711N	350923224975069
U26-S04 R5CR718AZ2W	SM-F711N	354903970502263
U26-S04 R5CR808P08H	SM-F711N	354903970959281
U26-S04 R5CRA1AXLKX	SM-F711N	354903975579621
U26-S05 R3CR70K9SGW	SM-F711N	350923220516172
U26-S05 R3CR70KB7VK	SM-F711N	350923220531809
U26-S05 R3CRA07MCKP	SM-F711N	350923222152885
U26-S05 R5CR808LWFP	SM-F711N	354903970940562
U26-S05 R5CR80DP8HV	SM-F711N	354903971095861
U26-S05 R5CR80DPKXD	SM-F711N	354903971099624
U26-S05 R5CR81SJZSE	SM-F711N	354903972702432
U26-S05 R5CRA0NSAVA	SM-F711N	354903974829936
U26-S05 R5CRA0TFZ6Y	SM-F711N	354903975068484
U26-S05 R5CT61WFHEK	SM-F711N	354903978850763
U26-S11 R3CR70RBD5H	SM-F711N	350923220837289
U26-S11 R3CR80DLZ5D	SM-F711N	357335600449416
U26-S11 R3CR80KKG1R	SM-F711N	351003241066785
U26-S11 R3CR80QDTBK	SM-F711N	350923221360620
U26-S11 R3CRA03BKLM	SM-F711N	357335601577249
U26-S11 R3CRA06K8FT	SM-F711N	350923222035031
U26-S11 R3CT3000EFL	SM-F711N	350923226131943
U26-S11 R5CR80EAJVW	SM-F711N	354903971183964
U26-S11 R5CR819JAHD	SM-F711N	354903972266370
U26-S11 R5CRA26MNWJ	SM-F711N	354903975728103
U26-S14 R3CN70DLCNY	SM-N986N	355857111493155
U26-S14 R3CN70GMT5R	SM-N986N	355857111915074
U26-S14 R3CN70HWN6P	SM-N986N	355857112127018
U26-S14 R3CN70R12RF	SM-N986N	355857112693241
U26-S14 R3CN70RG4JD	SM-N986N	355857112734789
U26-S14 R3CN80KGFNX	SM-N986N	355859110932217
U26-S14 R3CN80MAZNV	SM-N986N	355857113832772
U26-S14 R3CN9005D0Y	SM-N986N	355857115192860
U26-S14 R3CN90A7ZJB	SM-N986N	355859111580718
U26-S14 R3CN90HMNPN	SM-N986N	355857116538186
U26-S15 R3CN30QAP1W	SM-G988N	352650110802762
U26-S15 R3CN30XS56Y	SM-G988N	352649113054280
U26-S15 R3CN30XWGMR	SM-G988N	352649113090730
U26-S15 R3CN401AMTK	SM-G988N	352649113417081
U26-S15 R3CN401CW5X	SM-G988N	352649113441289
U26-S15 R3CN402KPEY	SM-G988N	352650111018277
U26-S15 R3CN403F85B	SM-G988N	352649113569048
U26-S15 R3CN404S4HV	SM-G988N	352649113751067
U26-S15 R3CN407SA3K	SM-G988N	352650111051682
U26-S15 R3CR70Q90BB	SM-G991N	354879303155989
U26-S12 R3CN10BZ7PD	SM-G981N	353346110495173
U26-S12 R3CN206ZDHJ	SM-G981N	353346110996998
U26-S12 R3CN20NKRAV	SM-G981N	353346111730057
U26-S12 R3CN20NNQNH	SM-G981N	353346111762514
U26-S12 R3CN308REMY	SM-G981N	353346112418371
U26-S12 R3CN40906QJ	SM-G981N	353346113421317
U26-S12 R3CN5095QZA	SM-G981N	353347111122188
U26-S12 R3CN601E5YD	SM-G981N	353346114660046
U26-S12 R3CN60EWZTZ	SM-G981N	353347111383384
U26-S12 R3CN60GMRSZ	SM-G981N	353346115368177
U26-S13 R3CN70BXS6L	SM-N986N	355857111144717
U26-S13 R3CN70FAM1Z	SM-N986N	355857111755991
U26-S13 R3CN70PVBGY	SM-N986N	355857112656461
U26-S13 R3CN70RJB0V	SM-N986N	355857112758697
